Matéria,Inicio,Fim,Data,Conteúdo,Horas Estudadas,,Dia,Horas Diárias
Conhecimentos Bancários,10:00,11:40,09/01/2023,Sistema Financeiro Nacional: Política Monetária,01:40,,09/01/2023,05:23
Conhecimentos Bancários,13:39,14:52,09/01/2023,Sistema Financeiro Nacional: Política Monetária (compulsórios),01:13,,10/01/2023,03:41
Português,15:20,16:20,09/01/2023,Uso da Crase,01:00,,11/01/2023,01:56
Português,17:30,19:00,09/01/2023,Uso da Crase (resolução de exercicios),01:30,,12/01/2023,03:53
Português,11:34,12:17,10/01/2023,Sintaxe da oração e período,00:43,,13/01/2023,03:34
Português,13:42,14:40,10/01/2023,Uso da vigula (regras),00:58,,,
Vendas e negociação,14:40,15:37,10/01/2023,Noções de estrategia empresarial,00:57,,,
Matemática,17:17,18:20,10/01/2021,Resolução de Exercicios de PA,01:03,,,
Matemática,17:05,18:02,11/01/2023,Resoluções de Exercicios de Lógica Proposicional,00:57,,,
Matemática,18:52,19:51,11/01/2023,Resoluções de Exercicios de Lógica Proposicional,00:59,,,
Matemática,11:08,11:36,12/01/2023,Resoluções de exercicios : sistema de medidas,00:28,,,
Matemática,11:44,12:55,12/01/2023,"Resoluções de exercicios e estudo. Diag. de Venn e sistemas de medidas",01:11,,,
Vendas e negociação,14:17,14:56,12/01/2023,Vendas e negociação,00:39,,,
Vendas e negociação,15:55,16:30,12/01/2023,Vendas e negociação (fechamento de planejamento estatégico),00:35,,,
Conhecimentos Bancários,16:55,17:55,12/01/2023,Mercado Financeiro e seus desdobramentos,01:00,,,
Conhecimentos Bancários,13:30,14:35,13/01/2023,Moeda e Politica Monetária,01:05,,,
Informática,16:00,17:04,13/01/2023,Segurança da informação (DHCP - MITM),01:04,,,
Informática,17:25,18:15,13/01/2023,Segurança da informação (DoS) & (Sniffing),00:50,,,
Informática,18:25,19:00,13/01/2023,Resoluções de exercicios para concurso (em geral),00:35,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
